DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,FATAL_NO,SPEEDING,REDLIGHT,ALCOHOL,HOOD_158,NEIGHBOURHOOD_158,DIVISION,row_num
2019-01-08,21:10:00,HALFWAY AVE,MORNINGSIDE AVE,Minor Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,70 to 74,None,None,None,None,None,146,Malvern East,D42,1
2019-01-08,21:10:00,HALFWAY AVE,MORNINGSIDE AVE,Minor Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,45 to 49,Major,None,None,None,None,146,Malvern East,D42,2
2019-01-09,18:53:00,3825 SHEPPARD AVE E,None,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,unknown,None,None,Yes,Yes,None,118,Tam O'Shanter-Sullivan,D42,1
2019-01-09,18:53:00,3825 SHEPPARD AVE E,None,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,85 to 89,Major,None,Yes,Yes,None,118,Tam O'Shanter-Sullivan,D42,2
2019-01-11,18:36:00,ELLESMERE RD,MILITARY TRL,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,50 to 54,None,None,None,None,None,134,Highland Creek,D43,1
2019-01-11,18:36:00,ELLESMERE RD,MILITARY TRL,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,20 to 24,Major,None,None,None,None,134,Highland Creek,D43,2
2019-01-12,22:13:00,MCCOWAN  RD,BRIMORTON  DR,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Fatal,Driver,40 to 44,Fatal,2,Yes,Yes,None,156,Bendale-Glen Andrew,D43,1
2019-01-12,22:13:00,MCCOWAN  RD,BRIMORTON  DR,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Fatal,Driver,30 to 34,None,None,Yes,Yes,None,156,Bendale-Glen Andrew,D43,2
2019-01-14,19:00:00,MURISON BLVD,MILNER AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,Yes,None,146,Malvern East,D42,1
2019-01-14,19:00:00,MURISON BLVD,MILNER AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,25 to 29,Major,None,None,Yes,None,146,Malvern East,D42,2
2019-01-14,19:00:00,MURISON BLVD,MILNER AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,0 to 4,None,None,None,Yes,None,146,Malvern East,D42,3
2019-01-14,19:00:00,MURISON BLVD,MILNER AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,20 to 24,None,None,None,Yes,None,146,Malvern East,D42,4
2019-01-15,5:55:00,155 UNIVERSITY AVE,None,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Fatal,Pedestrian,55 to 59,Fatal,3,None,None,None,170,Yonge-Bay Corridor,D52,1
2019-01-15,5:55:00,155 UNIVERSITY AVE,None,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Fatal,Driver,25 to 29,None,None,None,None,None,170,Yonge-Bay Corridor,D52,2
2019-01-16,13:03:00,ALLEN X S LAWRENCE E RAMP,LAWRENCE AVE W,Major Arterial,North York,Clear,Daylight,Dry,Fatal,Pedestrian,40 to 44,Fatal,5,None,None,None,31,Yorkdale-Glen Park,D13,1
2019-01-16,13:03:00,ALLEN X S LAWRENCE E RAMP,LAWRENCE AVE W,Major Arterial,North York,Clear,Daylight,Dry,Fatal,Driver,unknown,None,None,None,None,None,31,Yorkdale-Glen Park,D13,2
2019-01-16,13:32:00,2350 DUFFERIN ST,None,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Pedestrian,75 to 79,Fatal,8,None,None,None,107,Oakwood Village,D13,1
2019-01-16,13:32:00,2350 DUFFERIN ST,None,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Driver,25 to 29,None,None,None,None,None,107,Oakwood Village,D13,2
2019-01-17,19:00:00,DANFORTH RD,PATTERSON AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,unknown,None,None,None,Yes,None,121,Oakridge,D41,1
2019-01-17,19:00:00,DANFORTH RD,PATTERSON AVE,Minor Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,65 to 69,Major,None,None,Yes,None,121,Oakridge,D41,2
2019-01-17,21:22:00,LENNOX  ST,BATHURST  ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Fatal,Pedestrian,65 to 69,Fatal,6,None,Yes,None,79,University,D14,1
2019-01-17,21:22:00,LENNOX  ST,BATHURST  ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Fatal,Driver,55 to 59,None,None,None,Yes,None,79,University,D14,2
2019-01-19,5:30:00,MILLWOOD RD,LAIRD DR,Major Arterial,North York,Clear,"Dark, artificial",Dry,Fatal,Driver,20 to 24,Fatal,7,Yes,Yes,None,56,Leaside-Bennington,D53,1
2019-01-19,5:30:00,MILLWOOD RD,LAIRD DR,Major Arterial,North York,Clear,"Dark, artificial",Dry,Fatal,Passenger,20 to 24,None,None,Yes,Yes,None,56,Leaside-Bennington,D53,2
2019-01-19,21:15:00,BATHURST ST,NIAGARA ST,Major Arterial,Toronto and East York,Snow,"Dark, artificial",Packed Snow,Non-Fatal Injury,Driver,25 to 29,None,None,None,None,None,164,Wellington Place,D14,1
2019-01-19,21:15:00,BATHURST ST,NIAGARA ST,Major Arterial,Toronto and East York,Snow,"Dark, artificial",Packed Snow,Non-Fatal Injury,Pedestrian,40 to 44,Major,None,None,None,None,164,Wellington Place,D14,2
2019-01-20,5:15:00,FINCH AVE W,ISLINGTON AVE,Major Arterial,Etobicoke York,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,Driver,35 to 39,None,None,None,None,None,3,Thistletown-Beaumond Heights,D23,1
2019-01-20,5:15:00,FINCH AVE W,ISLINGTON AVE,Major Arterial,Etobicoke York,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,Driver,55 to 59,Minor,None,None,None,None,3,Thistletown-Beaumond Heights,D23,2
2019-01-20,5:15:00,FINCH AVE W,ISLINGTON AVE,Major Arterial,Etobicoke York,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,Passenger,40 to 44,Major,None,None,None,None,3,Thistletown-Beaumond Heights,D23,3
2019-01-21,11:25:00,BAY ST,WELLINGTON ST W,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,1
2019-01-21,11:25:00,BAY ST,WELLINGTON ST W,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,65 to 69,Major,None,None,Yes,None,170,Yonge-Bay Corridor,D52,2
2019-01-24,6:39:00,284 OAKWOOD AVE,None,Minor Arterial,Etobicoke York,Freezing Rain,"Dark, artificial",Ice,Non-Fatal Injury,Driver,25 to 29,None,None,None,None,None,107,Oakwood Village,D13,1
2019-01-24,6:39:00,284 OAKWOOD AVE,None,Minor Arterial,Etobicoke York,Freezing Rain,"Dark, artificial",Ice,Non-Fatal Injury,Pedestrian,50 to 54,Major,None,None,None,None,107,Oakwood Village,D13,2
2019-01-26,2:30:00,MCCOWAN RD,FINCH AVE E,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,55 to 59,Major,None,None,None,Yes,129,Agincourt North,D42,1
2019-01-29,15:27:00,PHARMACY AVE,HUNTINGWOOD DR,Minor Arterial,Scarborough,Clear,Daylight,Wet,Non-Fatal Injury,Driver,50 to 54,Minor,None,None,Yes,None,118,Tam O'Shanter-Sullivan,D42,1
2019-01-29,15:27:00,PHARMACY AVE,HUNTINGWOOD DR,Minor Arterial,Scarborough,Clear,Daylight,Wet,Non-Fatal Injury,Driver,40 to 44,Minimal,None,None,Yes,None,118,Tam O'Shanter-Sullivan,D42,2
2019-01-29,15:27:00,PHARMACY AVE,HUNTINGWOOD DR,Minor Arterial,Scarborough,Clear,Daylight,Wet,Non-Fatal Injury,Passenger,25 to 29,Major,None,None,Yes,None,118,Tam O'Shanter-Sullivan,D42,3
2019-01-29,15:27:00,PHARMACY AVE,HUNTINGWOOD DR,Minor Arterial,Scarborough,Clear,Daylight,Wet,Non-Fatal Injury,Passenger,0 to 4,Minor,None,None,Yes,None,118,Tam O'Shanter-Sullivan,D42,4
2019-01-31,13:45:00,ST CLAIR AVE W,ST CLAIR GDNS,Major Arterial,Etobicoke York,Clear,Daylight,Loose Snow,Non-Fatal Injury,Driver,45 to 49,None,None,None,None,None,92,Corso Italia-Davenport,D13,1
2019-01-31,13:45:00,ST CLAIR AVE W,ST CLAIR GDNS,Major Arterial,Etobicoke York,Clear,Daylight,Loose Snow,Non-Fatal Injury,Pedestrian,65 to 69,Major,None,None,None,None,92,Corso Italia-Davenport,D13,2
2019-02-01,2:58:00,MEADOWVALE RD,GENERATION BLVD,Minor Arterial,Scarborough,Clear,"Dark, artificial",Loose Snow,Fatal,Passenger,35 to 39,Minor,None,None,None,None,143,West Rouge,D42,1
2019-02-01,2:58:00,MEADOWVALE RD,GENERATION BLVD,Minor Arterial,Scarborough,Clear,"Dark, artificial",Loose Snow,Fatal,Driver,30 to 34,Minor,None,None,None,None,143,West Rouge,D42,2
2019-02-01,2:58:00,MEADOWVALE RD,GENERATION BLVD,Minor Arterial,Scarborough,Clear,"Dark, artificial",Loose Snow,Fatal,Driver,40 to 44,Fatal,10,None,None,None,143,West Rouge,D42,3
2019-02-02,23:26:00,945 MIDLAND AVE,None,Major Arterial,Scarborough,Snow,"Dark, artificial",Wet,Non-Fatal Injury,Driver,40 to 44,Major,None,None,None,Yes,138,Eglinton East,D41,1
2019-02-02,23:26:00,945 MIDLAND AVE,None,Major Arterial,Scarborough,Snow,"Dark, artificial",Wet,Non-Fatal Injury,Driver,30 to 34,Minor,None,None,None,Yes,138,Eglinton East,D41,2
2019-02-03,2:55:00,KINGSTON RD,HUNT CLUB DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,30 to 34,Minor,None,None,None,Yes,122,Birchcliffe-Cliffside,D41,1
2019-02-03,2:55:00,KINGSTON RD,HUNT CLUB DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,20 to 24,Major,None,None,None,Yes,122,Birchcliffe-Cliffside,D41,2
2019-02-03,2:55:00,KINGSTON RD,HUNT CLUB DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,25 to 29,Major,None,None,None,Yes,122,Birchcliffe-Cliffside,D41,3
2019-02-03,2:55:00,KINGSTON RD,HUNT CLUB DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,20 to 24,Major,None,None,None,Yes,122,Birchcliffe-Cliffside,D41,4
2019-02-04,8:54:00,BLOOR ST W,WINDERMERE AVE,Major Arterial,Etobicoke York,Clear,Daylight,Wet,Non-Fatal Injury,Truck Driver,35 to 39,None,None,None,Yes,None,87,High Park-Swansea,D11,1
2019-02-04,8:54:00,BLOOR ST W,WINDERMERE AVE,Major Arterial,Etobicoke York,Clear,Daylight,Wet,Non-Fatal Injury,Passenger,15 to 19,None,None,None,Yes,None,87,High Park-Swansea,D11,2
2019-02-04,8:54:00,BLOOR ST W,WINDERMERE AVE,Major Arterial,Etobicoke York,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian,60 to 64,Major,None,None,Yes,None,87,High Park-Swansea,D11,3
2019-02-04,19:04:00,WARDEN AVE,GLEN SPRINGS DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,85 to 89,None,None,None,None,None,148,East L'Amoreaux,D42,1
2019-02-04,19:04:00,WARDEN AVE,GLEN SPRINGS DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,60 to 64,None,None,None,None,None,148,East L'Amoreaux,D42,2
2019-02-04,19:04:00,WARDEN AVE,GLEN SPRINGS DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,unknown,None,None,None,None,None,148,East L'Amoreaux,D42,3
2019-02-04,19:04:00,WARDEN AVE,GLEN SPRINGS DR,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,45 to 49,Major,None,None,None,None,148,East L'Amoreaux,D42,4
2019-02-06,6:19:00,WILSON AVE,BATHURST ST,Major Arterial,North York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,40 to 44,None,None,None,None,None,38,Lansing-Westgate,D32,1
2019-02-06,6:19:00,WILSON AVE,BATHURST ST,Major Arterial,North York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,30 to 34,Minor,None,None,None,None,38,Lansing-Westgate,D32,2
2019-02-06,6:19:00,WILSON AVE,BATHURST ST,Major Arterial,North York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,5 to 9,Major,None,None,None,None,38,Lansing-Westgate,D32,3
2019-02-07,16:42:00,PHARMACY AVE,TRESTLESIDE GRV,Minor Arterial,Scarborough,Rain,"Dark, artificial",Ice,Non-Fatal Injury,Driver,20 to 24,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,1
2019-02-07,16:42:00,PHARMACY AVE,TRESTLESIDE GRV,Minor Arterial,Scarborough,Rain,"Dark, artificial",Ice,Non-Fatal Injury,Driver,40 to 44,Minimal,None,Yes,Yes,None,119,Wexford/Maryvale,D41,2
2019-02-07,16:42:00,PHARMACY AVE,TRESTLESIDE GRV,Minor Arterial,Scarborough,Rain,"Dark, artificial",Ice,Non-Fatal Injury,Passenger,25 to 29,Major,None,Yes,Yes,None,119,Wexford/Maryvale,D41,3
2019-02-08,3:30:00,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,65 to 69,Major,None,None,Yes,None,170,Yonge-Bay Corridor,D52,1
2019-02-08,3:30:00,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,2
2019-02-08,3:30:00,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,60 to 64,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,3
2019-02-08,3:30:00,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,30 to 34,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,4
2019-02-08,3:30:00,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,35 to 39,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,5
2019-02-14,11:12:00,YONGE ST,WILLIAM CARSON CRES,Major Arterial,North York,Clear,Daylight,Wet,Non-Fatal Injury,Driver,50 to 54,None,None,None,Yes,None,40,St.Andrew-Windfields,D32,1
2019-02-14,11:12:00,YONGE ST,WILLIAM CARSON CRES,Major Arterial,North York,Clear,Daylight,Wet,Non-Fatal Injury,Driver,60 to 64,Major,None,None,Yes,None,40,St.Andrew-Windfields,D32,2
2019-02-15,20:49:00,WESTON RD,ROGERS RD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Truck Driver,60 to 64,None,None,None,Yes,None,111,Rockcliffe-Smythe,D12,1
2019-02-15,20:49:00,WESTON RD,ROGERS RD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,40 to 44,None,None,None,Yes,None,111,Rockcliffe-Smythe,D12,2
2019-02-15,20:49:00,WESTON RD,ROGERS RD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,55 to 59,Major,None,None,Yes,None,111,Rockcliffe-Smythe,D12,3
2019-02-16,9:07:00,WARDEN  AVE,BAMBURGH  CRCL,Major Arterial,Scarborough,Clear,Daylight,Wet,Fatal,Pedestrian,85 to 89,Fatal,12,None,None,None,116,Steeles,D42,1
2019-02-16,9:07:00,WARDEN  AVE,BAMBURGH  CRCL,Major Arterial,Scarborough,Clear,Daylight,Wet,Fatal,Driver,50 to 54,None,None,None,None,None,116,Steeles,D42,2
2019-02-20,8:15:00,GERRARD ST E,MARJORY AVE,Minor Arterial,Toronto and East York,Clear,Daylight,Wet,Non-Fatal Injury,Truck Driver,50 to 54,None,None,None,Yes,None,70,South Riverdale,D55,1
2019-02-20,8:15:00,GERRARD ST E,MARJORY AVE,Minor Arterial,Toronto and East York,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian,70 to 74,Major,None,None,Yes,None,70,South Riverdale,D55,2
2019-02-25,14:52:00,THE QUEENSWAY,GLENDALE AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,None,None,None,None,None,87,High Park-Swansea,D11,1
2019-02-25,14:52:00,THE QUEENSWAY,GLENDALE AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,None,None,None,None,None,87,High Park-Swansea,D11,2
2019-02-25,14:52:00,THE QUEENSWAY,GLENDALE AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,35 to 39,Major,None,None,None,None,87,High Park-Swansea,D11,3
2019-02-25,19:49:00,FINCH AVE W,PEARLDALE AVE,Major Arterial,Etobicoke York,Other,Dark,Other,Fatal,Driver,60 to 64,None,None,None,None,None,22,Humbermede,D31,1
2019-02-25,19:49:00,FINCH AVE W,PEARLDALE AVE,Major Arterial,Etobicoke York,Other,Dark,Other,Fatal,Pedestrian,80 to 84,Fatal,11,None,None,None,22,Humbermede,D31,2
2019-02-26,8:35:00,DON MILLS RD,BOND AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 64,None,None,None,None,None,42,Banbury-Don Mills,D33,1
2019-02-26,8:35:00,DON MILLS RD,BOND AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,None,None,42,Banbury-Don Mills,D33,2
2019-02-26,8:35:00,DON MILLS RD,BOND AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,Major,None,None,None,None,42,Banbury-Don Mills,D33,3
2019-02-27,6:02:00,2930 FINCH AVE E,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,65 to 69,None,None,None,None,None,147,L'Amoreaux West,D42,1
2019-02-27,6:02:00,2930 FINCH AVE E,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,65 to 69,None,None,None,None,None,147,L'Amoreaux West,D42,2
2019-02-27,6:02:00,2930 FINCH AVE E,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,30 to 34,Major,None,None,None,None,147,L'Amoreaux West,D42,3
2019-03-01,11:05:00,MARTIN GROVE RD,REXDALE BLVD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,80 to 84,Major,None,None,Yes,None,1,West Humber-Clairville,D23,1
2019-03-01,11:05:00,MARTIN GROVE RD,REXDALE BLVD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,Yes,None,1,West Humber-Clairville,D23,2
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,15 to 19,None,None,None,None,None,46,Pleasant View,D33,1
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,65 to 69,Major,None,None,None,None,46,Pleasant View,D33,2
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,None,None,None,None,None,46,Pleasant View,D33,3
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,None,None,None,None,None,46,Pleasant View,D33,4
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,None,None,None,None,None,46,Pleasant View,D33,5
2019-03-01,16:09:00,2721 VICTORIA PARK AVE,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,None,None,None,None,None,46,Pleasant View,D33,6
2019-03-04,17:55:00,GARDINER LAKESHORE  E,LOWER JARVIS ST,Expressway Ramp,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,25 to 29,Major,None,None,None,None,166,St Lawrence-East Bayfront-The Islands,D51,1
2019-03-04,17:55:00,GARDINER LAKESHORE  E,LOWER JARVIS ST,Expressway Ramp,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,25 to 29,None,None,None,None,None,166,St Lawrence-East Bayfront-The Islands,D51,2
2019-03-05,5:47:00,HIGHWAY 27  N,HUMBER COLLEGE BLVD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,60 to 64,Major,None,None,None,None,1,West Humber-Clairville,D23,1
2019-03-05,5:47:00,HIGHWAY 27  N,HUMBER COLLEGE BLVD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,45 to 49,Minimal,None,None,None,None,1,West Humber-Clairville,D23,2
2019-03-05,5:47:00,HIGHWAY 27  N,HUMBER COLLEGE BLVD,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,45 to 49,Minimal,None,None,None,None,1,West Humber-Clairville,D23,3
2019-03-05,16:40:00,KINGSTON RD,SHARPE ST,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,None,None,122,Birchcliffe-Cliffside,D41,1
2019-03-05,16:40:00,KINGSTON RD,SHARPE ST,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,15 to 19,Major,None,None,None,None,122,Birchcliffe-Cliffside,D41,2
2019-03-07,9:01:00,EGLINTON  AVE W,MCROBERTS  AVE,Major Arterial,North York,None,Daylight,Other,Fatal,Pedestrian,75 to 79,Fatal,13,None,None,None,109,Caledonia-Fairbank,D13,1
2019-03-07,9:01:00,EGLINTON  AVE W,MCROBERTS  AVE,Major Arterial,North York,None,Daylight,Other,Fatal,Driver,55 to 59,None,None,None,None,None,109,Caledonia-Fairbank,D13,2
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,35 to 39,Minor,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,1
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,50 to 54,Minor,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,2
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,15 to 19,Major,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,3
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,15 to 19,Minor,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,4
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,20 to 24,Minor,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,5
2019-03-09,2:31:00,LAKE SHORE BLVD W,BAY ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,15 to 19,Minor,None,None,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,D52,6
